outcome,provider_left,provider_right,pearson_r,spearman_rho,mae,rmse,mean_difference_left_minus_right,n_items
abs_delta_score,deepseek_v4_flash,qwen3_32b,0.20634837537101544,0.034321344252204296,6.794212218649518,10.728901377067572,-2.4533762057877815,311
abs_delta_score,gpt_oss_120b,llama33_70b,0.01824191013337466,0.06962595819871067,19.926045016077172,26.73816112693917,8.286173633440514,311
abs_delta_score,gpt_oss_120b,nemotron3_nano_30b,0.1340980973168251,0.2371779819334258,224.52733118971062,410.1550016785474,-190.6881028938907,311
abs_delta_score,gpt_oss_120b,qwen3_32b,0.04827327944685196,-0.033257878343517074,25.69774919614148,31.12757692169561,23.787781350482316,311
abs_delta_score,llama33_70b,nemotron3_nano_30b,0.03563256714390797,0.05982450387192122,226.7427652733119,415.6598790456345,-198.9742765273312,311
abs_delta_score,llama33_70b,qwen3_32b,0.13377912143847207,0.029651967946675985,17.578778135048232,24.459231780507835,15.5016077170418,311
abs_delta_score,nemotron3_nano_30b,qwen3_32b,0.1884214044208714,0.06057908896607833,225.66559485530547,422.1031784381497,214.475884244373,311
adversarial_effectivity,deepseek_v4_flash,gpt_oss_120b,0.07784542355587074,0.22665666190075295,27.366559485530548,32.57763421127842,-26.241157556270096,311
adversarial_effectivity,deepseek_v4_flash,llama33_70b,0.14410984990235107,0.3061008303546404,19.607717041800644,25.68846250964282,-17.95498392282958,311
adversarial_effectivity,deepseek_v4_flash,nemotron3_nano_30b,0.2134459275341705,0.21890171105968878,226.44694533762058,423.4098642961448,-216.92926045016077,311
adversarial_effectivity,deepseek_v4_flash,qwen3_32b,0.20634837537101544,0.034321344252204296,6.794212218649518,10.728901377067572,-2.4533762057877815,311
adversarial_effectivity,gpt_oss_120b,llama33_70b,0.01824191013337466,0.06962595819871067,19.926045016077172,26.73816112693917,8.286173633440514,311
adversarial_effectivity,gpt_oss_120b,nemotron3_nano_30b,0.1340980973168251,0.2371779819334258,224.52733118971062,410.1550016785474,-190.6881028938907,311
adversarial_effectivity,gpt_oss_120b,qwen3_32b,0.04827327944685196,-0.033257878343517074,25.69774919614148,31.12757692169561,23.787781350482316,311
adversarial_effectivity,llama33_70b,nemotron3_nano_30b,0.03563256714390797,0.05982450387192122,226.7427652733119,415.6598790456345,-198.9742765273312,311
adversarial_effectivity,llama33_70b,qwen3_32b,0.13377912143847207,0.029651967946675985,17.578778135048232,24.459231780507835,15.5016077170418,311
adversarial_effectivity,nemotron3_nano_30b,qwen3_32b,0.1884214044208714,0.06057908896607833,225.66559485530547,422.1031784381497,214.475884244373,311
