position_id,community_id,display_role,display_role_label,dominant_structural_role,observed_status,prompt_ready,in_largest_component,has_prompt_peer_capacity
1651,0,context_position,context position,cluster_core,prompt_ready,True,True,True
1682,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
1683,0,context_position,context position,cluster_core,prompt_ready,True,True,True
2092,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
2124,0,bridge,bridge,peripheral_receiver,prompt_ready,True,True,True
2144,2,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
2154,1,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
2161,0,context_position,context position,broker_bridge,prompt_ready,True,True,True
2165,0,context_position,context position,broker_bridge,prompt_ready,True,True,True
2208,1,context_position,context position,exposed_receiver,prompt_ready,True,True,True
2256,0,peripheral,peripheral,peripheral_receiver,prompt_ready,True,True,True
2308,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
2446,4,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
2489,0,bridge,bridge,peripheral_receiver,prompt_ready,True,True,True
2549,1,high_visibility_sender,high visibility sender,broker_bridge,prompt_ready,True,True,True
2555,9,peripheral,peripheral,peripheral_receiver,observed_not_prompt_ready,False,False,False
2559,0,context_position,context position,cluster_core,prompt_ready,True,True,True
2561,4,context_position,context position,cluster_core,prompt_ready,True,True,True
2567,0,bridge,bridge,broker_bridge,prompt_ready,True,True,True
2568,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
2717,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
2822,0,bridge,bridge,broker_bridge,prompt_ready,True,True,True
2843,1,high_visibility_sender,high visibility sender,broker_bridge,prompt_ready,True,True,True
2853,1,high_exposure_receiver,high exposure receiver,exposed_receiver,prompt_ready,True,True,True
2863,0,bridge,bridge,peripheral_receiver,prompt_ready,True,True,True
3067,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
3094,2,peripheral,peripheral,peripheral_receiver,observed_not_prompt_ready,False,True,False
3112,10,peripheral,peripheral,peripheral_receiver,observed_not_prompt_ready,False,False,False
3125,1,high_exposure_receiver,high exposure receiver,visible_sender,prompt_ready,True,True,True
3236,0,bridge,bridge,peripheral_receiver,prompt_ready,True,True,True
3245,2,high_exposure_receiver,high exposure receiver,exposed_receiver,prompt_ready,True,True,True
3407,0,peripheral,peripheral,visible_sender,observed_not_prompt_ready,False,True,False
3528,1,high_visibility_sender,high visibility sender,broker_bridge,prompt_ready,True,True,True
3540,0,context_position,context position,broker_bridge,prompt_ready,True,True,True
3548,11,peripheral,peripheral,peripheral_receiver,observed_not_prompt_ready,False,False,False
3653,0,context_position,context position,broker_bridge,prompt_ready,True,True,True
3682,1,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
3753,1,context_position,context position,cluster_core,prompt_ready,True,True,True
3864,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
3911,0,high_exposure_receiver,high exposure receiver,exposed_receiver,prompt_ready,True,True,True
4040,0,bridge,bridge,broker_bridge,prompt_ready,True,True,True
4057,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
4109,1,context_position,context position,visible_sender,prompt_ready,True,True,True
4127,1,high_exposure_receiver,high exposure receiver,exposed_receiver,prompt_ready,True,True,True
4153,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
4183,1,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
4203,1,peripheral,peripheral,cross_community_connector,prompt_ready,True,True,True
4217,0,bridge,bridge,broker_bridge,prompt_ready,True,True,True
4244,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
4261,5,bridge,bridge,peripheral_receiver,prompt_ready,True,True,True
4331,0,context_position,context position,peripheral_receiver,prompt_ready,True,True,True
4425,0,peripheral,peripheral,broker_bridge,observed_not_prompt_ready,False,True,False
4521,0,peripheral,peripheral,cluster_core,prompt_ready,True,True,True
4541,1,high_exposure_receiver,high exposure receiver,broker_bridge,prompt_ready,True,True,True
4565,2,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
4571,0,context_position,context position,broker_bridge,prompt_ready,True,True,True
4691,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
4706,2,context_position,context position,broker_bridge,prompt_ready,True,True,True
4711,2,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
4755,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
4780,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
4809,0,context_position,context position,broker_bridge,prompt_ready,True,True,True
4850,0,bridge,bridge,broker_bridge,prompt_ready,True,True,True
4861,1,peripheral,peripheral,peripheral_receiver,prompt_ready,True,True,True
4873,0,peripheral,peripheral,cluster_core,prompt_ready,True,True,True
4888,1,bridge,bridge,broker_bridge,prompt_ready,True,True,True
4952,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
4995,1,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
5020,0,context_position,context position,exposed_receiver,prompt_ready,True,True,True
5129,4,high_visibility_sender,high visibility sender,cross_community_connector,prompt_ready,True,True,True
5214,0,context_position,context position,broker_bridge,prompt_ready,True,True,True
5233,0,context_position,context position,exposed_receiver,prompt_ready,True,True,True
5286,1,peripheral,peripheral,peripheral_receiver,prompt_ready,True,True,True
5434,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
5439,0,peripheral,peripheral,visible_sender,prompt_ready,True,True,True
5522,2,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
5527,0,context_position,context position,exposed_receiver,prompt_ready,True,True,True
5634,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
5645,0,peripheral,peripheral,visible_sender,prompt_ready,True,True,True
5690,0,context_position,context position,cluster_core,prompt_ready,True,True,True
5698,0,context_position,context position,broker_bridge,prompt_ready,True,True,True
5821,1,peripheral,peripheral,cluster_core,prompt_ready,True,True,True
5834,0,context_position,context position,cluster_core,prompt_ready,True,True,True
5863,2,peripheral,peripheral,broker_bridge,observed_not_prompt_ready,False,True,False
5873,1,high_exposure_receiver,high exposure receiver,exposed_receiver,prompt_ready,True,True,True
5933,2,peripheral,peripheral,visible_sender,observed_not_prompt_ready,False,True,False
5991,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
6043,0,context_position,context position,exposed_receiver,prompt_ready,True,True,True
6070,0,bridge,bridge,broker_bridge,prompt_ready,True,True,True
6091,1,bridge,bridge,broker_bridge,observed_not_prompt_ready,False,True,False
6168,4,peripheral,peripheral,broker_bridge,observed_not_prompt_ready,False,True,False
6178,12,peripheral,peripheral,peripheral_receiver,observed_not_prompt_ready,False,False,False
6238,0,context_position,context position,cluster_core,prompt_ready,True,True,True
6241,2,context_position,context position,broker_bridge,prompt_ready,True,True,True
6270,3,context_position,context position,visible_sender,prompt_ready,True,True,True
6333,0,context_position,context position,cluster_core,prompt_ready,True,True,True
6368,3,high_visibility_sender,high visibility sender,cross_community_connector,prompt_ready,True,True,True
6385,0,high_visibility_sender,high visibility sender,cluster_core,prompt_ready,True,True,True
6398,0,high_visibility_sender,high visibility sender,broker_bridge,prompt_ready,True,True,True
6449,6,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
6460,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
6470,2,bridge,bridge,broker_bridge,prompt_ready,True,True,True
6504,0,high_visibility_sender,high visibility sender,exposed_receiver,prompt_ready,True,True,True
6544,0,peripheral,peripheral,visible_sender,observed_not_prompt_ready,False,True,False
6596,0,peripheral,peripheral,peripheral_receiver,prompt_ready,True,True,True
6691,2,high_visibility_sender,high visibility sender,broker_bridge,prompt_ready,True,True,True
6837,2,bridge,bridge,cross_community_connector,observed_not_prompt_ready,False,True,False
6898,1,high_exposure_receiver,high exposure receiver,broker_bridge,prompt_ready,True,True,True
6939,2,bridge,bridge,peripheral_receiver,prompt_ready,True,True,True
6941,13,peripheral,peripheral,peripheral_receiver,observed_not_prompt_ready,False,False,False
6961,1,bridge,bridge,broker_bridge,prompt_ready,True,True,True
7043,1,high_exposure_receiver,high exposure receiver,visible_sender,prompt_ready,True,True,True
7049,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
7102,0,peripheral,peripheral,cluster_core,prompt_ready,True,True,True
7142,2,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
7163,0,peripheral,peripheral,peripheral_receiver,observed_not_prompt_ready,False,True,False
7242,0,peripheral,peripheral,cluster_core,prompt_ready,True,True,True
7257,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
7289,0,context_position,context position,exposed_receiver,prompt_ready,True,True,True
7399,0,bridge,bridge,broker_bridge,prompt_ready,True,True,True
7403,0,high_visibility_sender,high visibility sender,broker_bridge,prompt_ready,True,True,True
7422,2,bridge,bridge,peripheral_receiver,observed_not_prompt_ready,False,True,False
7477,0,context_position,context position,cluster_core,prompt_ready,True,True,True
7583,0,peripheral,peripheral,peripheral_receiver,observed_not_prompt_ready,False,True,False
7660,1,context_position,context position,cluster_core,prompt_ready,True,True,True
7730,1,context_position,context position,broker_bridge,prompt_ready,True,True,True
7739,0,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
7838,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
7862,1,context_position,context position,exposed_receiver,prompt_ready,True,True,True
7920,1,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
7934,3,bridge,bridge,broker_bridge,prompt_ready,True,True,True
7945,3,high_exposure_receiver,high exposure receiver,visible_sender,prompt_ready,True,True,True
7974,1,context_position,context position,cluster_core,prompt_ready,True,True,True
8163,0,peripheral,peripheral,cluster_core,prompt_ready,True,True,True
8229,2,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
8244,6,context_position,context position,cross_community_connector,prompt_ready,True,True,True
8329,0,high_visibility_sender,high visibility sender,broker_bridge,prompt_ready,True,True,True
8358,0,peripheral,peripheral,peripheral_receiver,prompt_ready,True,True,True
8420,14,peripheral,peripheral,peripheral_receiver,observed_not_prompt_ready,False,False,False
8431,1,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
8516,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
8556,0,bridge,bridge,visible_sender,observed_not_prompt_ready,False,True,False
8622,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
8656,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
8736,2,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
8753,0,peripheral,peripheral,cluster_core,prompt_ready,True,True,True
8756,2,bridge,bridge,peripheral_receiver,prompt_ready,True,True,True
8845,0,high_visibility_sender,high visibility sender,cluster_core,prompt_ready,True,True,True
8872,0,context_position,context position,exposed_receiver,prompt_ready,True,True,True
9057,1,high_visibility_sender,high visibility sender,broker_bridge,prompt_ready,True,True,True
9138,2,peripheral,peripheral,cross_community_connector,observed_not_prompt_ready,False,True,False
9238,0,high_exposure_receiver,high exposure receiver,exposed_receiver,prompt_ready,True,True,True
9248,0,bridge,bridge,broker_bridge,prompt_ready,True,True,True
9315,2,context_position,context position,cross_community_connector,prompt_ready,True,True,True
9327,4,peripheral,peripheral,visible_sender,observed_not_prompt_ready,False,True,False
9385,2,high_visibility_sender,high visibility sender,cross_community_connector,prompt_ready,True,True,True
9393,0,bridge,bridge,broker_bridge,prompt_ready,True,True,True
9402,0,context_position,context position,cluster_core,prompt_ready,True,True,True
9484,1,high_exposure_receiver,high exposure receiver,exposed_receiver,prompt_ready,True,True,True
9542,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
9615,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
9658,0,context_position,context position,broker_bridge,prompt_ready,True,True,True
9690,1,bridge,bridge,cluster_core,prompt_ready,True,True,True
9711,3,high_visibility_sender,high visibility sender,broker_bridge,prompt_ready,True,True,True
9856,1,peripheral,peripheral,visible_sender,observed_not_prompt_ready,False,True,False
9859,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
9866,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
9934,1,bridge,bridge,broker_bridge,prompt_ready,True,True,True
9995,1,context_position,context position,cluster_core,prompt_ready,True,True,True
10043,4,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
10144,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
10169,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
10186,5,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
10195,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
10246,0,high_visibility_sender,high visibility sender,cluster_core,prompt_ready,True,True,True
10320,0,bridge,bridge,broker_bridge,prompt_ready,True,True,True
10400,2,peripheral,peripheral,broker_bridge,observed_not_prompt_ready,False,True,False
10449,0,high_exposure_receiver,high exposure receiver,exposed_receiver,prompt_ready,True,True,True
10552,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
10562,0,peripheral,peripheral,cluster_core,observed_not_prompt_ready,False,True,False
10612,1,context_position,context position,visible_sender,prompt_ready,True,True,True
10713,2,bridge,bridge,cross_community_connector,observed_not_prompt_ready,False,True,False
10737,3,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
10738,15,peripheral,peripheral,peripheral_receiver,observed_not_prompt_ready,False,False,False
10847,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
10861,0,context_position,context position,exposed_receiver,prompt_ready,True,True,True
10952,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
10982,0,bridge,bridge,broker_bridge,prompt_ready,True,True,True
11006,2,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
11007,1,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
11132,0,bridge,bridge,broker_bridge,observed_not_prompt_ready,False,True,False
11190,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
11222,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
11250,0,context_position,context position,cluster_core,prompt_ready,True,True,True
11281,0,context_position,context position,cluster_core,prompt_ready,True,True,True
11410,0,peripheral,peripheral,peripheral_receiver,observed_not_prompt_ready,False,True,False
11471,0,bridge,bridge,peripheral_receiver,prompt_ready,True,True,True
11550,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
11614,0,peripheral,peripheral,peripheral_receiver,prompt_ready,True,True,True
11620,1,high_exposure_receiver,high exposure receiver,visible_sender,prompt_ready,True,True,True
11651,4,peripheral,peripheral,cluster_core,observed_not_prompt_ready,False,True,False
11856,1,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
11904,0,high_visibility_sender,high visibility sender,broker_bridge,prompt_ready,True,True,True
11957,1,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
12087,1,context_position,context position,broker_bridge,prompt_ready,True,True,True
12108,0,bridge,bridge,peripheral_receiver,prompt_ready,True,True,True
12134,0,context_position,context position,broker_bridge,prompt_ready,True,True,True
12143,1,peripheral,peripheral,cluster_core,prompt_ready,True,True,True
12189,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
12193,0,bridge,bridge,peripheral_receiver,prompt_ready,True,True,True
12292,0,context_position,context position,broker_bridge,prompt_ready,True,True,True
12308,1,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
12323,0,bridge,bridge,broker_bridge,prompt_ready,True,True,True
12394,1,peripheral,peripheral,broker_bridge,observed_not_prompt_ready,False,True,False
12428,0,context_position,context position,exposed_receiver,prompt_ready,True,True,True
12437,0,peripheral,peripheral,peripheral_receiver,prompt_ready,True,True,True
12476,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
12878,1,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
12936,1,context_position,context position,visible_sender,prompt_ready,True,True,True
12977,0,high_visibility_sender,high visibility sender,broker_bridge,prompt_ready,True,True,True
13009,0,bridge,bridge,broker_bridge,prompt_ready,True,True,True
13059,0,high_exposure_receiver,high exposure receiver,exposed_receiver,prompt_ready,True,True,True
13066,0,bridge,bridge,broker_bridge,prompt_ready,True,True,True
13096,2,high_visibility_sender,high visibility sender,broker_bridge,prompt_ready,True,True,True
13099,3,bridge,bridge,broker_bridge,prompt_ready,True,True,True
13103,4,high_visibility_sender,high visibility sender,cluster_core,prompt_ready,True,True,True
13110,16,peripheral,peripheral,peripheral_receiver,observed_not_prompt_ready,False,False,False
13149,1,bridge,bridge,broker_bridge,prompt_ready,True,True,True
13167,1,bridge,bridge,broker_bridge,prompt_ready,True,True,True
13215,1,high_exposure_receiver,high exposure receiver,visible_sender,prompt_ready,True,True,True
13217,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
13243,17,peripheral,peripheral,peripheral_receiver,observed_not_prompt_ready,False,False,False
13277,0,bridge,bridge,cluster_core,prompt_ready,True,True,True
13354,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
13512,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
13612,3,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
13652,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
13701,0,high_visibility_sender,high visibility sender,cluster_core,prompt_ready,True,True,True
13708,3,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
13780,0,high_exposure_receiver,high exposure receiver,exposed_receiver,prompt_ready,True,True,True
13785,1,peripheral,peripheral,peripheral_receiver,prompt_ready,True,True,True
13798,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
13814,1,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
13822,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
13855,0,context_position,context position,cluster_core,prompt_ready,True,True,True
13861,1,bridge,bridge,cluster_core,prompt_ready,True,True,True
13873,3,high_exposure_receiver,high exposure receiver,cross_community_connector,prompt_ready,True,True,True
13874,0,peripheral,peripheral,peripheral_receiver,observed_not_prompt_ready,False,True,False
13886,1,context_position,context position,cluster_core,prompt_ready,True,True,True
13942,2,context_position,context position,broker_bridge,prompt_ready,True,True,True
13983,1,high_visibility_sender,high visibility sender,broker_bridge,prompt_ready,True,True,True
14035,0,context_position,context position,visible_sender,prompt_ready,True,True,True
14041,1,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
14072,0,high_visibility_sender,high visibility sender,cluster_core,prompt_ready,True,True,True
14098,1,context_position,context position,broker_bridge,prompt_ready,True,True,True
14133,3,high_visibility_sender,high visibility sender,cluster_core,prompt_ready,True,True,True
14143,0,context_position,context position,cluster_core,prompt_ready,True,True,True
14175,0,high_exposure_receiver,high exposure receiver,broker_bridge,prompt_ready,True,True,True
14210,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
14216,1,bridge,bridge,peripheral_receiver,prompt_ready,True,True,True
14352,2,high_visibility_sender,high visibility sender,cross_community_connector,prompt_ready,True,True,True
14431,2,bridge,bridge,broker_bridge,prompt_ready,True,True,True
14450,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
14476,1,peripheral,peripheral,cluster_core,observed_not_prompt_ready,False,True,False
14511,1,context_position,context position,exposed_receiver,prompt_ready,True,True,True
14604,0,high_visibility_sender,high visibility sender,cluster_core,prompt_ready,True,True,True
14678,1,context_position,context position,cluster_core,prompt_ready,True,True,True
14679,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
14803,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
14823,5,context_position,context position,cross_community_connector,prompt_ready,True,True,True
14905,2,context_position,context position,exposed_receiver,prompt_ready,True,True,True
14917,1,bridge,bridge,broker_bridge,prompt_ready,True,True,True
14965,0,context_position,context position,visible_sender,prompt_ready,True,True,True
15010,3,high_visibility_sender,high visibility sender,cluster_core,prompt_ready,True,True,True
15169,0,high_visibility_sender,high visibility sender,cluster_core,prompt_ready,True,True,True
15203,2,high_exposure_receiver,high exposure receiver,exposed_receiver,prompt_ready,True,True,True
15289,1,high_exposure_receiver,high exposure receiver,visible_sender,prompt_ready,True,True,True
15320,0,context_position,context position,cluster_core,prompt_ready,True,True,True
15325,1,high_exposure_receiver,high exposure receiver,visible_sender,prompt_ready,True,True,True
15328,2,peripheral,peripheral,cluster_core,observed_not_prompt_ready,False,True,False
15343,1,peripheral,peripheral,peripheral_receiver,observed_not_prompt_ready,False,True,False
15359,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
15482,5,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
15484,0,context_position,context position,cluster_core,prompt_ready,True,True,True
15496,4,high_visibility_sender,high visibility sender,cluster_core,prompt_ready,True,True,True
15512,0,context_position,context position,broker_bridge,prompt_ready,True,True,True
15514,18,peripheral,peripheral,peripheral_receiver,observed_not_prompt_ready,False,False,False
15516,2,high_exposure_receiver,high exposure receiver,exposed_receiver,prompt_ready,True,True,True
15528,1,bridge,bridge,broker_bridge,observed_not_prompt_ready,False,True,False
15556,0,context_position,context position,broker_bridge,prompt_ready,True,True,True
15562,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
15565,4,peripheral,peripheral,cluster_core,observed_not_prompt_ready,False,True,False
15569,0,context_position,context position,visible_sender,prompt_ready,True,True,True
15624,2,bridge,bridge,peripheral_receiver,observed_not_prompt_ready,False,True,False
15749,2,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
15752,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
15791,2,high_exposure_receiver,high exposure receiver,cross_community_connector,prompt_ready,True,True,True
15940,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
15989,1,high_exposure_receiver,high exposure receiver,broker_bridge,prompt_ready,True,True,True
16015,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
16037,2,peripheral,peripheral,peripheral_receiver,observed_not_prompt_ready,False,True,False
16139,0,peripheral,peripheral,peripheral_receiver,prompt_ready,True,True,True
16171,1,high_exposure_receiver,high exposure receiver,broker_bridge,prompt_ready,True,True,True
16183,1,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
16192,0,context_position,context position,cluster_core,prompt_ready,True,True,True
16270,4,high_visibility_sender,high visibility sender,broker_bridge,prompt_ready,True,True,True
16282,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
16284,2,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
16290,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
16439,1,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
16596,1,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
16633,2,bridge,bridge,broker_bridge,prompt_ready,True,True,True
16706,1,bridge,bridge,broker_bridge,prompt_ready,True,True,True
16749,4,bridge,bridge,peripheral_receiver,prompt_ready,True,True,True
16800,1,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
16825,0,bridge,bridge,broker_bridge,prompt_ready,True,True,True
16840,0,high_exposure_receiver,high exposure receiver,exposed_receiver,prompt_ready,True,True,True
16919,6,bridge,bridge,cluster_core,prompt_ready,True,True,True
16920,5,high_visibility_sender,high visibility sender,broker_bridge,prompt_ready,True,True,True
16931,0,context_position,context position,cluster_core,prompt_ready,True,True,True
17002,0,bridge,bridge,broker_bridge,observed_not_prompt_ready,False,True,False
17050,0,peripheral,peripheral,peripheral_receiver,prompt_ready,True,True,True
17062,2,high_exposure_receiver,high exposure receiver,cross_community_connector,prompt_ready,True,True,True
17081,0,peripheral,peripheral,broker_bridge,observed_not_prompt_ready,False,True,False
17090,0,peripheral,peripheral,broker_bridge,observed_not_prompt_ready,False,True,False
17312,3,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
17326,1,context_position,context position,broker_bridge,prompt_ready,True,True,True
17352,2,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
17468,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
17562,0,peripheral,peripheral,visible_sender,observed_not_prompt_ready,False,True,False
17573,0,context_position,context position,visible_sender,prompt_ready,True,True,True
17609,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
17613,0,context_position,context position,broker_bridge,prompt_ready,True,True,True
17770,2,context_position,context position,broker_bridge,prompt_ready,True,True,True
17785,0,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
17793,1,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
17824,5,peripheral,peripheral,cluster_core,prompt_ready,True,True,True
17853,0,high_exposure_receiver,high exposure receiver,exposed_receiver,prompt_ready,True,True,True
17963,2,bridge,bridge,broker_bridge,observed_not_prompt_ready,False,True,False
17967,0,peripheral,peripheral,cluster_core,observed_not_prompt_ready,False,True,False
17994,0,peripheral,peripheral,peripheral_receiver,prompt_ready,True,True,True
17997,1,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
18027,2,peripheral,peripheral,cross_community_connector,prompt_ready,True,True,True
18077,5,high_visibility_sender,high visibility sender,cluster_core,prompt_ready,True,True,True
